"1054              ","ANDINA                          ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1066              ","ARCHY                           ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1067              ","BONY MIX                        ","DE 7 A 8                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1068              ","-NO USAR- LUXURY                ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1072              ","MICHELLE                        ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1073              ","COPOS MIX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1074              ","AGUS                            ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1075              ","FRIDA                           ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1077              ","BENJI                           ","DE 6 A 7                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1079              ","AGATA MIX                       ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1081              ","FRANIE MIX                      ","NO APLICA                ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1083              ","FARREL                          ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1086              ","TWITY                           ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1094              ","POLAR                           ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1095              ","POLAR MIX                       ","DE 8 A 9                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1096              ","BEBITO                          ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1107              ","BRANDY                          ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1109              ","MERINO 4/8                      ","DE 5 A 6                 ","DE 5 A 6                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1110              ","OLIVIA                          ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1111              ","CONNIE                          ","NO APLICA                ","DE 13 A 14               ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1112              ","RAMIREZ                         ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1114              ","LAS LE¥AS                       ","DE 4 A 5                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1115              ","MAIA MIX                        ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1116              ","BRISA                           ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1117              ","NINO                            ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1118              ","CHAPELCO                        ","DE 6 A 7                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1119              ","MERINO 4/16                     ","DE 3 A 4                 ","DE 4 A 5                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1120              ","IRINA                           ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1121              ","KELLY                           ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1122              ","FATIMA MIX                      ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1123              ","-NO USAR- FATIMA MIX            ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1124              ","BATIK                           ","NO APLICA                ","DE 13 A 14               ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1126              ","KOPOM                           ","NO APLICA                ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","CLASICO                  ","SI                       "
"1127              ","CANDELA                         ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1128              ","CANDELA MIX                     ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","CLASICO                  ","NO                       "
"1129              ","MILY                            ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1132              ","FATIMA                          ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1133              ","GALA                            ","DE 6 A 7                 ","DE 6 A 7                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","SI                       "
"1134              ","MAGUI                           ","DE 9 A 10                ","DE 9 A 10                ","MADEJAS 150 GRS.         ","PRIMAVERA / VERANO       ","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1135              ","-NO USAR-JULIA                  ","DE 7 A 8                 ","DE 7 A 8                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
"1137              ","MADISON                         ","DE 8 A 9                 ","DE 8 A 9                 ","MADEJAS 150 GRS.         ","OTOÃ‘O / INVIERNO","HILADOS MANUALES         ","FANTASIA                 ","NO                       "
